mediapipe_index,openwillis_landmark,upper_face,lower_face,lips,eyebrows,display_region
0,lmk001,False,True,True,False,lips
1,lmk002,True,False,False,False,upper_face
2,lmk003,True,False,False,False,upper_face
3,lmk004,True,False,False,False,upper_face
4,lmk005,True,False,False,False,upper_face
5,lmk006,True,False,False,False,upper_face
6,lmk007,True,False,False,False,upper_face
7,lmk008,True,False,False,False,upper_face
8,lmk009,True,False,False,False,upper_face
9,lmk010,True,False,False,False,upper_face
10,lmk011,True,False,False,False,upper_face
11,lmk012,False,True,True,False,lips
12,lmk013,False,True,True,False,lips
13,lmk014,False,True,True,False,lips
14,lmk015,False,True,True,False,lips
15,lmk016,False,True,True,False,lips
16,lmk017,False,True,True,False,lips
17,lmk018,False,True,True,False,lips
18,lmk019,False,True,False,False,lower_face
19,lmk020,True,False,False,False,upper_face
20,lmk021,True,False,False,False,upper_face
21,lmk022,True,False,False,False,upper_face
22,lmk023,True,False,False,False,upper_face
23,lmk024,True,False,False,False,upper_face
24,lmk025,True,False,False,False,upper_face
25,lmk026,True,False,False,False,upper_face
26,lmk027,True,False,False,False,upper_face
27,lmk028,True,False,False,False,upper_face
28,lmk029,True,False,False,False,upper_face
29,lmk030,True,False,False,False,upper_face
30,lmk031,True,False,False,False,upper_face
31,lmk032,True,False,False,False,upper_face
32,lmk033,False,True,False,False,lower_face
33,lmk034,True,False,False,False,upper_face
34,lmk035,True,False,False,False,upper_face
35,lmk036,True,False,False,True,eyebrows
36,lmk037,True,False,False,False,upper_face
37,lmk038,False,True,True,False,lips
38,lmk039,False,True,True,False,lips
39,lmk040,False,True,True,False,lips
40,lmk041,False,True,True,False,lips
41,lmk042,False,True,True,False,lips
42,lmk043,False,True,True,False,lips
43,lmk044,False,True,False,False,lower_face
44,lmk045,True,False,False,False,upper_face
45,lmk046,True,False,False,False,upper_face
46,lmk047,True,False,False,True,eyebrows
47,lmk048,True,False,False,False,upper_face
48,lmk049,True,False,False,False,upper_face
49,lmk050,True,False,False,False,upper_face
50,lmk051,True,False,False,False,upper_face
51,lmk052,True,False,False,False,upper_face
52,lmk053,True,False,False,True,eyebrows
53,lmk054,True,False,False,True,eyebrows
54,lmk055,True,False,False,False,upper_face
55,lmk056,True,False,False,True,eyebrows
56,lmk057,True,False,False,False,upper_face
57,lmk058,False,True,False,False,lower_face
58,lmk059,False,True,False,False,lower_face
59,lmk060,True,False,False,False,upper_face
60,lmk061,True,False,False,False,upper_face
61,lmk062,False,True,True,False,lips
62,lmk063,False,True,True,False,lips
63,lmk064,True,False,False,True,eyebrows
64,lmk065,True,False,False,False,upper_face
65,lmk066,True,False,False,True,eyebrows
66,lmk067,True,False,False,True,eyebrows
67,lmk068,True,False,False,False,upper_face
68,lmk069,True,False,False,False,upper_face
69,lmk070,True,False,False,False,upper_face
70,lmk071,True,False,False,True,eyebrows
71,lmk072,True,False,False,False,upper_face
72,lmk073,False,True,True,False,lips
73,lmk074,False,True,True,False,lips
74,lmk075,False,True,True,False,lips
75,lmk076,True,False,False,False,upper_face
76,lmk077,False,True,True,False,lips
77,lmk078,False,True,True,False,lips
78,lmk079,False,True,True,False,lips
79,lmk080,True,False,False,False,upper_face
80,lmk081,False,True,True,False,lips
81,lmk082,False,True,True,False,lips
82,lmk083,False,True,True,False,lips
83,lmk084,False,True,False,False,lower_face
84,lmk085,False,True,True,False,lips
85,lmk086,False,True,True,False,lips
86,lmk087,False,True,True,False,lips
87,lmk088,False,True,True,False,lips
88,lmk089,False,True,True,False,lips
89,lmk090,False,True,True,False,lips
90,lmk091,False,True,True,False,lips
91,lmk092,False,True,True,False,lips
92,lmk093,False,True,False,False,lower_face
93,lmk094,True,False,False,False,upper_face
94,lmk095,True,False,False,False,upper_face
95,lmk096,False,True,True,False,lips
96,lmk097,False,True,True,False,lips
97,lmk098,True,False,False,False,upper_face
98,lmk099,True,False,False,False,upper_face
99,lmk100,True,False,False,False,upper_face
100,lmk101,True,False,False,False,upper_face
101,lmk102,True,False,False,False,upper_face
102,lmk103,True,False,False,False,upper_face
103,lmk104,True,False,False,False,upper_face
104,lmk105,True,False,False,False,upper_face
105,lmk106,True,False,False,True,eyebrows
106,lmk107,False,True,False,False,lower_face
107,lmk108,True,False,False,True,eyebrows
108,lmk109,True,False,False,False,upper_face
109,lmk110,True,False,False,False,upper_face
110,lmk111,True,False,False,False,upper_face
111,lmk112,True,False,False,False,upper_face
112,lmk113,True,False,False,False,upper_face
113,lmk114,True,False,False,False,upper_face
114,lmk115,True,False,False,False,upper_face
115,lmk116,True,False,False,False,upper_face
116,lmk117,True,False,False,False,upper_face
117,lmk118,True,False,False,False,upper_face
118,lmk119,True,False,False,False,upper_face
119,lmk120,True,False,False,False,upper_face
120,lmk121,True,False,False,False,upper_face
121,lmk122,True,False,False,False,upper_face
122,lmk123,True,False,False,False,upper_face
123,lmk124,True,False,False,False,upper_face
124,lmk125,True,False,False,True,eyebrows
125,lmk126,True,False,False,False,upper_face
126,lmk127,True,False,False,False,upper_face
127,lmk128,True,False,False,False,upper_face
128,lmk129,True,False,False,False,upper_face
129,lmk130,True,False,False,False,upper_face
130,lmk131,True,False,False,False,upper_face
131,lmk132,True,False,False,False,upper_face
132,lmk133,False,True,False,False,lower_face
133,lmk134,True,False,False,False,upper_face
134,lmk135,True,False,False,False,upper_face
135,lmk136,False,True,False,False,lower_face
136,lmk137,False,True,False,False,lower_face
137,lmk138,True,False,False,False,upper_face
138,lmk139,False,True,False,False,lower_face
139,lmk140,True,False,False,False,upper_face
140,lmk141,False,True,False,False,lower_face
141,lmk142,True,False,False,False,upper_face
142,lmk143,True,False,False,False,upper_face
143,lmk144,True,False,False,False,upper_face
144,lmk145,True,False,False,False,upper_face
145,lmk146,True,False,False,False,upper_face
146,lmk147,False,True,True,False,lips
147,lmk148,False,True,False,False,lower_face
148,lmk149,False,True,False,False,lower_face
149,lmk150,True,False,False,False,upper_face
150,lmk151,False,True,False,False,lower_face
151,lmk152,True,False,False,False,upper_face
152,lmk153,False,True,False,False,lower_face
153,lmk154,True,False,False,False,upper_face
154,lmk155,True,False,False,False,upper_face
155,lmk156,True,False,False,False,upper_face
156,lmk157,True,False,False,True,eyebrows
157,lmk158,True,False,False,False,upper_face
158,lmk159,True,False,False,False,upper_face
159,lmk160,True,False,False,False,upper_face
160,lmk161,True,False,False,False,upper_face
161,lmk162,True,False,False,False,upper_face
162,lmk163,True,False,False,False,upper_face
163,lmk164,True,False,False,False,upper_face
164,lmk165,False,True,False,False,lower_face
165,lmk166,False,True,False,False,lower_face
166,lmk167,True,False,False,False,upper_face
